INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
ITT Technical Institute-Salem,Salem,OR,0,3,12,,,,,,,,,0,191,0.7801,0.0209,0.0733,0.0105,0.0314,0.0052,0.0262,0,0.0524,0.1466,,22403,0.7955,,,,,0.8864,0.6806,25833.5,286.8048087,0.394119686,,,,
Pierpont Community and Technical College,Fairmont,WV,2,1,32,,,,,,,,,0,2108,0.8278,0.102,0.0209,0.0047,0.0028,0.0019,0.0261,0.0005,0.0133,0.1902,9045,,0.519,,0.3843,,0.3286,0.586,0.2993,14975,166.2531988,0.37309417,,0.1614475,,
Broken Arrow Beauty College-Tulsa,Tulsa,OK,1,3,11,,,,,,,,,0,88,0.6477,0.1023,0.0568,0.0455,0.0341,0.0114,0.1023,0,0,0.1591,,13870,0.7763,,0.84,,1,0.9145,0.3523,9833,109.1664577,0.548717949,,0.813986047,16600,0.193333328
Morgan State University,Baltimore,MD,3,1,11,450,450,435,18,17,18,,893,0,6197,0.0203,0.8451,0.0292,0.0139,0.0032,0.0011,0.0342,0.0424,0.0105,0.1149,14502,,0.6152,0.7207,,0.55,,0.8105,0.2039,31000,344.16355,0.377313228,0.310851319,,39700,0.564781666
Fred W Eberle Technical Center,Buckhannon,WV,1,1,33,,,,,,,,,0,120,0.9833,0.0167,0,0,0,0,0,0,0,0.2417,6429,,0.9539,,0.4918,,0.1481,0,0.5917,,,,,0.965127907,31400,0.535714269
Towson University,Towson,MD,3,1,13,535,545,540,23,23,23,8,1078,0,18534,0.6521,0.1526,0.0521,0.0478,0.0018,0.0009,0.0349,0.0203,0.0375,0.1092,16133,,0.2498,0.8603,,1,,0.5047,0.1126,19000,210.93895,0.877104745,0.656359865,,49500,0.75282526
Pasco-Hernando Community College,New Port Richey,FL,2,1,21,,,,,,,,,0,8211,0.726,0.0452,0.1575,0.0158,0.0037,0.0018,0.0285,0.0018,0.0197,0.5327,6088,,0.4436,,0.6384,,0.5,0.1712,0.3274,8298.5,92.13036193,0.544468547,,0.39532391,29100,0.447164178
ITT Technical Institute-Fort Wayne,Fort Wayne,IN,2,3,11,,,,,,,,,0,283,0.788,0.1095,0.0565,0.0106,0,0,0.0212,0,0.0141,0.3074,,22119,0.6822,,,,,0.8424,0.682,25833.5,286.8048087,0.394119686,0.340293194,,38400,0.591855824
Bel-Rea Institute of Animal Technology,Denver,CO,2,3,11,,,,,,,,,0,576,0.7413,0.0208,0.1302,0.0122,0,0,0.0556,0.0017,0.0382,0,,21736,0.5088,,0.6395,,,0.7493,0.4444,28731,318.9729986,0.757097792,,0.619151507,30600,0.528017223
GateWay Community College,Phoenix,AZ,1,1,11,,,,,,,,,0,5653,0.3807,0.1206,0.3004,0.0343,0.0463,0.0016,0.0103,0.0193,0.0865,0.772,8106,,0.3374,,0.5534,,0.402,0.242,0.5832,6946,77.1148393,0.585662759,,0.215044,29800,0.590909064
YTI Career Institute-York,York,PA,2,3,22,,,,,,,,,0,2027,0.6976,0.0691,0.1707,0.0128,0.0049,0.0015,0.0434,0,0,0,,8031,0.6771,,0.8304,,,0.8123,0.3883,12428,137.9762774,0.637424172,,0.747002279,35700,0.57405138
Johnson & Wales University-North Miami,North Miami,FL,3,2,21,,,,,,,,,0,1937,0.2039,0.2623,0.2385,0.0088,0.0021,0.001,0.0382,0.1172,0.128,0.0268,,21973,0.5593,0.6969,,0.25,,0.8251,0.0845,27000,299.75535,0.801117943,0.437258247,,35100,0.599495888
Golf Academy of America-Carlsbad,Carlsbad,CA,2,3,12,,,,,,,,,0,230,0.7652,0.0174,0.0522,0.0391,0.0087,0.0217,0.0565,0.0087,0.0304,0.0652,,23374,0.4109,,0.8511,,0.4667,0.4845,0.6435,19000,210.93895,0.256332599,,0.533337037,26400,0.389043003
Pitzer College,Claremont,CA,3,2,21,,,,,,,,,0,1081,0.4949,0.0472,0.1508,0.0629,0.0037,0.0009,0.0823,0.0509,0.1064,0.0342,,25807,0.1614,0.908,,,,0.3625,0.0463,15088,167.5077304,0.942028986,0.843497561,,45300,0.565217376
Curry College,Milton,MA,3,2,21,468,470,,18,18,19,,931,0,2794,0.6682,0.0895,0.0519,0.0157,0.0032,0.0007,0.0157,0.0111,0.1439,0.2598,,30561,0.2555,0.7021,,1,,0.6274,0.285,26000,288.6533,0.833460076,0.438938111,,43600,0.688279331
The Salon Professional Academy-Kokomo,Kokomo,IN,1,3,13,,,,,,,,,0,68,0.8529,0.0735,0.0441,0,0,0,0,0,0.0294,0,,16063,0.6444,,0.7857,,,0.5778,0.25,9833,109.1664577,,,0.693161364,,
Cerro Coso Community College,Ridgecrest,CA,2,1,41,,,,,,,,,0,4029,0.5001,0.0494,0.3328,0.0345,0.0221,0.001,0.0541,0.0017,0.0042,0.7684,5413,,0.1763,,0.5764,,0.2866,0,0.5359,PrivacySuppressed,PrivacySuppressed,0.634615385,,0.196115385,24900,0.384920627
Carrington College California-Stockton,Stockton,CA,1,3,11,,,,,,,,,0,465,0.3161,0.1183,0.4172,0.071,0.0194,0.0151,0.0323,0,0.0108,0.0753,,18306,0.7692,,0.7826,,,0.6547,0.2602,13683,151.9093502,0.467313416,,0.707148555,29700,0.507042229
Irene's Myomassology Institute,Southfield,MI,1,3,13,,,,,,,,,0,353,0.6799,0.2068,0.0255,0.0028,0,0.0283,0,0,0.0567,0,,25741,0.574,,,,,0.6055,0.6402,6598,73.2513259,0.725988701,,0.80531838,PrivacySuppressed,0.485436887
San Francisco Art Institute,San Francisco,CA,3,2,11,540,505,535,25,27,22,,1061,0,468,0.4765,0.0192,0.1645,0.0534,0.0085,0.0043,0.0919,0.1261,0.0556,0.0598,,41414,0.3267,0.6543,,0,,1,0.2029,24000,266.4492,0.802955665,0.3039928,,24600,0.435114503
Herzing University-Toledo,Toledo,OH,2,3,11,,,,,,,,,0,205,0.5122,0.3951,0.039,0.0049,0,0,0.0146,0,0.0341,0.3317,,20749,0.8477,0,,,,0.8436,0.7024,22822,253.3709851,0.474266474,,,42300,0.596551716
Baptist Health System School of Health Professions,San Antonio,TX,2,3,11,,,,,,,,,0,444,0.4279,0.0563,0.4257,0.0428,0.0113,0.018,0.018,0,0,0,,,0.5383,,,,,0.9333,0.455,19678,218.4661399,0.855153203,,,60800,PrivacySuppressed
Western Seminary-Sacramento,Sacramento,CA,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,,,,PrivacySuppressed,
New York Automotive and Diesel Institute,Jamaica,NY,1,3,11,,,,,,,,,0,276,0.1304,0.5109,0.2717,0.0254,0.0326,0.0036,0.0036,0,0.0217,0,,20149,0.8075,,0.7069,,,0.7854,0.5254,9500,105.469475,0.427145709,,0.588369903,34800,0.429555893
Fortis College-Orange Park,Orange Park,FL,1,3,21,,,,,,,,,0,266,0.5564,0.2895,0.094,0.0226,0.0038,0,0.0226,0,0.0113,0,,18674,0.5526,,0.625,,,0.5994,0.4586,11833,131.3705577,0.409628378,,0.66357853,23500,0.379897773
Hopkinsville Community College,Hopkinsville,KY,1,1,32,,,,,,,,,0,3191,0.6067,0.2466,0.0777,0.0144,0.005,0.0053,0.031,0.0009,0.0122,0.4914,7390,,0.619,,0.5203,,0.3598,0.3831,0.5001,11500,127.673575,0.571593533,,0.275193612,26600,0.449473679
ITT Technical Institute-Fort Lauderdale,Fort Lauderdale,FL,2,3,21,,,,,,,,,0,531,0.177,0.4576,0.2467,0.0188,0.0019,0.0019,0.0301,0,0.0659,0.2731,,23219,0.7473,1,,,,0.8127,0.7684,25833.5,286.8048087,0.394119686,0.390357219,,38400,0.591855824
South Central Louisiana Technical College-Young Memorial Campus,Morgan City,LA,1,1,32,,,,,,,,,0,1460,0.587,0.3082,0.0534,0.0075,0.0137,0.0021,0.0116,0.0007,0.0158,0.5938,8555,,0.2032,,0.5981,,0.535,0,0.3154,,,,,0.629748855,27000,0.419159412
Farmingdale State College,Farmingdale,NY,3,1,21,470,495,,21,,,,969,0,7455,0.6145,0.1057,0.1543,0.0699,0.002,0.0048,0.0168,0.0276,0.0044,0.2072,10590,,0.2708,0.8234,,0.25,,0.3193,0.2464,15393,170.8938557,0.857230769,0.4462,,45600,0.693877578
Central Christian College of Kansas,McPherson,KS,3,2,33,440,485,,21,20,22,,970,0,765,0.5451,0.1804,0.0797,0.0078,0.0118,0.0092,0.0118,0.0209,0.1333,0.034,,19630,0.6166,0.6261,,,,0.7411,0.4243,21035,233.5316218,0.811594203,0.473391489,,31100,0.485029936
Unitek College,Fremont,CA,1,3,21,,,,,,,,,0,904,0.1283,0.0409,0.156,0.3097,0.0011,0.0199,0.0531,0.0022,0.2887,0,,28463,0.4985,,,,,0.6397,0.5774,10281,114.1401761,1,0.790922042,,,
Alliant International University-Sacramento,Sacramento,CA,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,22.2041,0.786259542,,,51800,0.814285696
Strayer University-Kentucky,Lexington,KY,3,3,11,,,,,,,,,0,424,0.6675,0.1934,0.0189,0.0071,0.0094,0,0.0283,0,0.0755,0.9151,,29316,0.715,0,,0.2632,,0.8339,0.8443,39499.5,438.525424,0.444774917,,,51700,0.722576857
Oklahoma City Community College,Oklahoma City,OK,2,1,11,,,,,,,,,0,12594,0.5646,0.0857,0.0909,0.0383,0.0543,0.0032,0.0285,0.0639,0.0706,0.6353,6944,,0.425,,0.4424,,0.3099,0.2379,0.4038,9750,108.2449875,0.499193982,,0.16330122,33000,0.563845038
Iverson Business School,Arlington,TX,1,3,11,,,,,,,,,0,2,0.5,0.5,0,0,0,0,0,0,0,0,,,0,,0.963,,,0,1,8179,90.80366695,0.204379562,,0.943557863,25400,0.315436244
Pittsburgh Theological Seminary,Pittsburgh,PA,4,2,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,,,,PrivacySuppressed
McCann School of Business & Technology,Pottsville,PA,2,3,32,,,,,,,,,0,3544,0.6648,0.0694,0.2218,0.0045,0.0048,0.0011,0.0175,0,0.0161,0.3589,,18969,0.7859,,0.6694,,0.4802,0.9078,0.5886,19811,219.9427126,0.507346046,,0.419765161,27800,0.396350354
Florida Institute of Ultrasound Inc,Pensacola,FL,1,3,13,,,,,,,,,0,68,0.9265,0.0441,0,0.0294,0,0,0,0,0,0,,,0.4324,,,,,0.7027,0.5588,16000,177.6328,0.898876404,,,47900,0.741176486
CET-Watsonville,Watsonville,CA,1,2,13,,,,,,,,,0,88,0.0568,0,0.9432,0,0,0,0,0,0,0,,11479,0.386,,0.6905,,,0.0791,0.2727,5450,60.5061725,0.340693196,,0.827353237,21600,0.354960531
San Joaquin General Hospital School of Radiation Technology,French Camp,CA,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8750,97.1429375,0.297468354,,,29400,0.406209141
Indiana University-South Bend,South Bend,IN,3,1,12,480,480,450,21,19,21,7,962,0,5538,0.7687,0.0726,0.0746,0.0141,0.0022,0.0005,0.0271,0.0206,0.0197,0.2878,12068,,0.3369,0.6346,,0.5128,,0.4083,0.261,25724,285.5891342,0.66373858,0.245164563,,33800,0.561635613
Lincoln Technical Institute-Somerville,Somerville,MA,1,3,21,,,,,,,,,0,331,0.1843,0.3384,0.2961,0.0574,0,0.003,0.0453,0,0.0755,0.3595,,15654,0.7062,,0.7288,,0.5,0.7611,0.4804,9504,105.5138832,0.390612133,,0.534474061,31200,0.473020315
Adams State University,Alamosa,CO,3,1,33,487,500,485,20,19,20,,939,0,2227,0.5123,0.0768,0.3026,0.0112,0.0153,0.0063,0.04,0,0.0355,0.1612,14676,,0.5029,0.5592,,0.3125,,0.629,0.2106,PrivacySuppressed,PrivacySuppressed,0.626040878,0.21733659,,33200,0.482023954
Tulsa Welding School-Jacksonville,Jacksonville,FL,1,3,11,,,,,,,,,0,696,0.4425,0.2716,0.0575,0.0072,0.0029,0.0014,0.0287,0,0.1882,0,,24608,0.5218,,0.6349,,,0.5462,0.4239,9500,105.469475,0.458549223,,0.624863484,36000,0.605564654
American Public University System,Charles Town,WV,3,3,31,,,,,,,,,1,42460,0.5445,0.2396,0.0997,0.0162,0.0067,0.009,0.0332,0.0074,0.0436,0.923,,9095,0.3054,0.8386,,0.6532,,0.2727,0.8147,17311,192.1875876,0.596199525,0.314311429,,,0.822085917
The Art Institute of Raleigh-Durham,Durham,NC,2,3,12,,,,,,,,,0,781,0.3137,0.4763,0.0768,0.0051,0.0128,0.0154,0,0,0.0999,0.3431,,27525,0.678,0.404,,0.125,,0.8175,0.3163,27167,301.6093924,0.349280501,,,28200,0.435806841
Everest College-McLean,Vienna,VA,1,3,21,,,,,,,,,0,237,0.135,0.3629,0.2827,0.0759,0.0042,0.0042,0.0591,0,0.0759,0.1224,,23976,0.5642,,0.75,,,0.4866,0.5063,9500,105.469475,0.334682861,,0.556980674,24700,0.428930819
West Valley College,Saratoga,CA,2,1,21,,,,,,,,,0,8470,0.48,0.0339,0.2318,0.1534,0.0031,0.0039,0.0486,0.0081,0.0372,0.6549,9086,,0.1545,,0.726,,0.4201,0.0086,0.3712,PrivacySuppressed,PrivacySuppressed,0.525316456,,0.336727227,33300,0.518518507
Coachella Valley Beauty College,La Quinta,CA,1,3,21,,,,,,,,,0,129,0.186,0.062,0.6899,0.0233,0.031,0.0078,0,0,0,0,,9654,0.9,,0.8333,,,0.44,0.3643,1914,21.2493237,0.647058824,,0.764395402,,
Phagans School of Hair Design-Portland,Portland,OR,1,3,11,,,,,,,,,0,132,0.6894,0.197,0.0606,0.0152,0.0152,0.0076,0,0,0.0152,0,,8900,0.9054,,0.5,,,0.8063,0.4924,16000,177.6328,0.549356223,,0.646691617,16000,0.330357134
Lincoln Technical Institute-Union,Union,NJ,1,3,21,,,,,,,,,0,1171,0.2297,0.357,0.3049,0.0359,0.0026,0.0017,0.0529,0.0017,0.0137,0.1691,,15421,0.6661,,0.8015,,0.6098,0.7398,0.3313,12473.5,138.4814207,0.42204644,,0.575730367,37300,0.55259937
Advanced Welding Institute,South Burlington,VT,1,3,13,,,,,,,,,0,53,0.9623,0,0,0,0,0,0.0377,0,0,0,,21154,0.5082,,,,,0.7705,0.1698,5077,56.36510785,0.648648649,,PrivacySuppressed,,
Career College of Northern Nevada,Sparks,NV,2,3,12,,,,,,,,,0,556,0.5755,0.045,0.2104,0.0629,0.0432,0.0108,0.036,0,0.0162,0,,12276,0.7935,,0.6078,,,0.9181,0.5845,14103.5,156.5777622,0.42903752,,0.616183121,26800,0.45348838
Toledo Restaurant Training Center,Toledo,OH,1,2,11,,,,,,,,,0,40,0.05,0.925,0.025,0,0,0,0,0,0,0,,12340,0.96,,,,,0,0.4,,,,,0.757009346,,
Lake Region State College,Devils Lake,ND,2,1,33,,,,,,,,,0,661,0.7519,0.0605,0.0318,0.0045,0.0499,0.0015,0.0318,0.053,0.0151,0.2965,8325,,0.1641,,0.522,,0.4545,0.2072,0.1939,8650,96.0327325,0.768916155,,0.510678899,34800,0.616822422
Pomona Unified School District Adult and Career Education,Pomona,CA,1,1,21,,,,,,,,,0,444,0.0991,0.0541,0.4707,0.018,0,0.0068,0.3041,0,0.0473,0.4347,8863,,1,,0.6531,,0.3103,0,0.431,,,,,0.762735364,17300,0.180000007
American College of Healthcare,Huntington Park,CA,0,3,21,,,,,,,,,0,73,0,0.0822,0.9178,0,0,0,0,0,0,0,,8950,0.7,,,,,0.725,0.4521,9500,105.469475,0.154882155,,,,
Massage Therapy Institute of Colorado,Denver,CO,1,3,11,,,,,,,,,0,82,0.8049,0.0244,0.0976,0.0366,0,0,0.0366,0,0,0,,30861,0.5556,,0.8,,,0.7179,0.6707,9500,105.469475,0.842105263,,0.805808738,,PrivacySuppressed
Marinello School of Beauty-San Mateo,San Mateo,CA,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,111.0205,0.41712404,,,,
Empire Beauty School-Malden,Malden,MA,1,3,21,,,,,,,,,0,155,0.4968,0.1871,0.1613,0.0839,0.0065,0,0.0065,0,0.0581,0.1935,,14408,0.5907,,0.7419,,0.7778,0.5946,0.4258,8167,90.67044235,0.541509434,,0.58256055,18500,0.297297299
National Personal Training Institute of Colorado,Colorado Springs,CO,1,3,11,,,,,,,,,0,78,0.7436,0.0769,0.1026,0.0256,0,0,0.0513,0,0,0,,15409,0.2386,,,,,0.3636,0.6282,6333,70.30928265,,,0.756990654,,
Alexander Academy,Fitchburg,MA,1,3,22,,,,,,,,,0,29,0.4483,0.2759,0.2759,0,0,0,0,0,0,0,,22121,0.6034,,0.4167,,,0.5517,0.4483,8930,99.1413065,,,,,
Regency Beauty Institute-Eastgate,Cincinnati,OH,1,3,21,,,,,,,,,0,84,0.2857,0.0595,0,0,0,0,0.0238,0,0.631,0.2976,,20574,0.7532,,0.5,,0.4444,0.8117,0.2381,14144,157.0273952,0.47496977,,0.589173643,19600,0.333333343
Bloomfield College,Bloomfield,NJ,3,2,21,405,430,,,,,,835,0,1906,0.1207,0.5058,0.2162,0.0378,0.0047,0.0026,0.0058,0.0341,0.0724,0.0782,,20718,0.6417,0.6347,,0.1667,,0.8211,0.2044,31000,344.16355,0.617252931,0.365656916,,39000,0.604767859
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,GA,1,3,12,,,,,,,,,0,207,0.3043,0.6473,0.0097,0.0097,0,0,0.0048,0,0.0242,0,,6329,0.9207,,0.8293,,,0.9603,0.628,5500,61.061275,0.406451613,,0.94593,15900,0.193103448
Washington Adventist University,Takoma Park,MD,3,2,21,,,,,,,,,0,951,0.0904,0.5941,0.1083,0.0747,0.0126,0.0042,0.0074,0.0242,0.0841,0.1535,,16853,0.5393,0.7099,,,,0.7881,0.3225,31250,346.9390625,0.647969052,0.337046667,,46800,0.673684239
Solano Community College,Fairfield,CA,2,1,22,,,,,,,,,0,8341,0.3338,0.1512,0.2404,0.1408,0.0031,0.0091,0.0803,0.0032,0.0381,0.6219,7255,,0.2519,,0.7024,,0.4335,0.0367,0.3905,11747,130.4157814,0.353433836,,0.327703797,34100,0.465048552
Keiser University-Daytona,Daytona Beach,FL,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27500,305.306375,0.468016739,,,29600,0.549784839
Cosmetology Schools Inc,Stillwater,OK,1,3,32,,,,,,,,,0,18,0.8333,0.1111,0,0,0.0556,0,0,0,0,0,,7575,0.5357,,0.7273,,,0.6607,0.2222,PrivacySuppressed,PrivacySuppressed,0.358490566,,0.88713871,PrivacySuppressed,PrivacySuppressed
Cabrillo College,Aptos,CA,2,1,22,,,,,,,,,0,12724,0.5136,0.0123,0.364,0.0325,0.0056,0.0017,0.0462,0.005,0.0191,0.6415,6841,,0.2477,,0.7398,,0.4958,0.0367,0.43,15406,171.0381823,0.586419753,,0.343283193,32100,0.460399717
Anthem Institute-Parsippany,Parsippany,NJ,1,3,21,,,,,,,,,0,148,0.4662,0.1284,0.2905,0.027,0,0,0.0338,0,0.0541,0,,24709,0.564,,0.8169,,,0.8081,0.5135,9363,103.9484942,0.604024298,,0.735735135,49200,0.542303145
Associated Technical College-San Diego,San Diego,CA,1,3,11,,,,,,,,,0,110,0.1636,0.3818,0.4273,0.0091,0,0.0091,0,0,0.0091,0,,20138,0.9834,,,,,0.9448,0.5455,9500,105.469475,0.62962963,,0.70319863,19500,0.34523809
McNeese State University,Lake Charles,LA,3,1,13,500,525,,22,23,22,,1030,0,6777,0.7152,0.189,0.0205,0.0145,0.0059,0.0015,0.0164,0.0357,0.0013,0.1208,8515,,0.3639,0.6913,,0.25,,0.4129,0.2107,21750,241.4695875,0.695116947,0.379528662,,36800,0.58359623
Brown Mackie College-Indianapolis,Indianapolis,IN,2,3,11,,,,,,,,,0,899,0.2803,0.6741,0.0278,0.0078,0.0011,0.0011,0.0033,0,0.0044,0,,19799,0.8106,0.1429,,,,0.699,0.7241,21599,239.793178,0.289359316,,,25200,0.501259446
James H Faulkner State Community College,Bay Minette,AL,2,1,32,,,,,,,,,0,4182,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,0.0163,0.0007,0.0017,0.3867,7404,,0.4885,,0.5211,,0.3981,0.4042,0.2909,9153,101.6170637,0.590852905,,0.164098246,28900,0.433466136
PJ's College of Cosmetology- Indianapolis,Indianapolis,IN,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,111.0205,0.303691275,,,18200,0.179104477
Institute of American Indian and Alaska Native Culture,Santa Fe,NM,3,1,41,,,,,,,,,0,225,0.04,0,0.0267,0.0089,0.8578,0.0044,0,0.0444,0.0178,0.28,10181,,0.3944,0.6923,,1,,0,0.3546,PrivacySuppressed,PrivacySuppressed,0.457142857,0.268319512,,21300,0.210526317
University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,1,3,12,,,,,,,,,0,173,0.0289,0,0.9306,0,0,0,0,0.0405,0,0.6185,,11477,0.5791,,0.5,,0.9444,0.481,0.474,6055,67.22291275,0.44499382,,0.797201399,15200,0.140786752
A T Still University of Health Sciences,Kirksville,MO,4,2,33,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,,,199600,0.980769217
Miami Ad School-Minneapolis,Minneapolis,MN,1,3,11,,,,,,,,,0,18,0.8333,0.0556,0.1111,0,0,0,0,0,0,0,,,0.069,,,,,0.7586,0.7222,24055.5,267.0653638,0.906504065,,,64700,0.857142866
Capri Institute of Hair Design-Kenilworth,Kenilworth,NJ,1,3,21,,,,,,,,,0,153,0.3987,0.2026,0.3595,0.0327,0,0,0,0,0.0065,0.281,,21731,0.348,,0.8421,,1,0.4291,0.4444,7722,85.7300301,0.647887324,,0.732564535,22300,0.434782594
Strayer University-North Charlotte,Charlotte,NC,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39499.5,438.525424,0.444774917,,,51700,0.722576857
Reid State Technical College,Evergreen,AL,1,1,41,,,,,,,,,0,414,0.471,0.4928,0.0121,0.0024,0.0145,0.0048,0.0024,0,0,0.372,4912,,0.701,,0.4881,,0.4,0,0.4081,,,,,0.457968702,20100,0.380813956
Manchester Beauty College,Fresno,CA,1,3,11,,,,,,,,,0,67,0.194,0.1045,0.5224,0.1194,0.0597,0,0,0,0,0.8955,,13061,0.0519,,0.6667,,0.6364,0,0.5224,,,,,0.581393023,18200,0.212598428
Coastline Beauty College,Fountain Valley,CA,1,3,13,,,,,,,,,0,197,0.0102,0.0102,0.066,0.8376,0,0,0,0.0406,0.0355,0.4619,,16660,0.5176,,0.9706,,0.68,0,0.8122,,,,,0.896548768,,PrivacySuppressed
Eastern College of Health Vocations-New Orleans,New Orleans,LA,1,3,21,,,,,,,,,0,221,0.2262,0.7738,0,0,0,0,0,0,0,0,,12330,0.906,,,,,0.9592,0.7738,3888,43.1647704,0.420242024,,0.575355969,19700,0.250859112
Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD,1,3,21,,,,,,,,,0,29,0.8621,0.0345,0.0345,0.0345,0,0,0.0345,0,0,0.3448,,14936,0.3056,,0.7692,,1,0.4375,0.1379,7500,83.265375,0.792682927,,0.586182759,23000,0.54651165
Marion County Community Technical and Adult Education Center,Ocala,FL,1,1,13,,,,,,,,,0,427,0.6183,0.1756,0.1827,0.0141,0.0023,0,0,0,0.007,0,,,0.4649,,0.8957,,,0,0.5246,,,,,0.789365479,PrivacySuppressed,0.390243888
Barone Beauty Academy,Williamsport,PA,1,3,13,,,,,,,,,0,56,0.9107,0.0714,0,0.0179,0,0,0,0,0,0,,16118,0.6163,,0.7368,,,0.6977,0.2857,9500,105.469475,PrivacySuppressed,,0.837234884,,
Meredith College,Raleigh,NC,3,2,11,515,520,,23,22,22,,1040,0,1543,0.722,0.1115,0.0324,0.0298,0.0052,0.0013,0.0279,0.0428,0.0272,0.0363,,22275,0.352,0.7248,,1,,0.6871,0.0827,27000,299.75535,0.868360277,0.609594766,,38400,0.659420311
San Diego Christian College,El Cajon,CA,3,2,21,505,490,478,21,20,21,7,986,0,889,0.3735,0.1541,0.1541,0.0169,0.0067,0.0101,0.0326,0.0045,0.2475,0.1057,,25314,0.6475,0.6829,,0.1111,,0.8793,0.4126,20249,224.8054105,0.840466926,0.421067836,,34400,0.561643839
Babson College,Wellesley,MA,3,2,21,595,660,620,28,28,29,,1258,0,2106,0.3898,0.0423,0.0997,0.1168,0.0019,0,0.0223,0.2635,0.0636,0,,28057,0.1613,0.9489,,,,0.3737,0.009,27000,299.75535,0.98206278,0.90403683,,85500,0.894348919
Great Plains Technology Center,Lawton,OK,1,1,13,,,,,,,,,0,296,0.5946,0.1351,0.1182,0.0135,0.0946,0.0203,0,0,0.0236,0.1047,10226,,0.5539,,0.8992,,0.9143,0,0.5,,,,,0.831786654,32600,0.544303775
ITT Technical Institute-Levittown,Levittown,PA,2,3,21,,,,,,,,,0,380,0.4526,0.3,0.1421,0.0263,0.0026,0,0.0316,0,0.0447,0.1816,,21078,0.7648,,0.6667,,0,0.8475,0.5842,25833.5,286.8048087,0.394119686,,0.417277241,38400,0.591855824
Texas Southern University,Houston,TX,3,1,11,410,425,395,17,16,18,11,832,0,6288,0.018,0.837,0.0612,0.0274,0.0049,0,0,0.0514,0.0002,0.1538,18312,,0.6721,0.5517,,0.3053,,0.7412,0.2958,33763,374.8385142,0.369544592,0.137943012,,31300,0.451545686
Tabor College,Hillsboro,KS,3,2,33,455,475,,23,21,22,,1017,0,706,0.6714,0.0793,0.1105,0.0085,0.0085,0.0028,0.0269,0.0255,0.0666,0.1997,,21885,0.3634,0.6143,,0,,0.7699,0.1821,21250,235.9185625,0.880636605,0.525887649,,34400,0.629770994
University of Massachusetts-Dartmouth,North Dartmouth,MA,3,1,22,520,540,510,23,,,,1061,0,7202,0.6862,0.1165,0.0712,0.0328,0.0022,0.0004,0.0365,0.0107,0.0435,0.1209,17092,,0.3799,0.7609,,0.4667,,0.717,0.144,25921,287.7762381,0.81547619,0.494293695,,44800,0.69057548
Los Angeles Valley College,Valley Glen,CA,1,1,11,,,,,,,,,0,16111,0.3086,0.0539,0.4785,0.0818,0.0018,0.0021,0.0207,0.0055,0.0471,0.726,7511,,0.3189,,0.7573,,0.4781,0.049,0.4081,10500,116.571525,0.578125,,0.271570034,30600,0.450663596
Charleston School of Law,Charleston,SC,4,3,12,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,PrivacySuppressed,,,,,
Asbury Theological Seminary,Wilmore,KY,4,2,31,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,PrivacySuppressed,,,40000,0.733870983
Adrian's College of Beauty Modesto,Modesto,CA,1,3,12,,,,,,,,,0,275,0.2618,0.0655,0.4727,0.0545,0,0.0073,0.12,0,0.0182,0,,14768,0.7216,,0.8148,,,0.5081,0.28,10836,120.3018138,0.43373494,,0.586791698,14600,0.217391297
Missouri University of Science and Technology,Rolla,MO,3,1,33,605,640,,28,28,28,,1263,0,6064,0.7899,0.0435,0.0244,0.0242,0.004,0.0016,0.0198,0.0576,0.035,0.1039,15153,,0.2587,0.8262,,0.6,,0.5401,0.069,25000,277.55125,0.921693735,0.638392039,,65500,0.821043193
